matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season
26,VfL Wolfsburg,FC Augsburg,8.0,7.0,7.0,5.0,2023
26,FC Schalke 04,Bayer Leverkusen,18.0,22.0,34.0,-22.0,2023
26,Werder Bremen,TSG 1899 Hoffenheim,10.0,10.0,6.0,1.0,2023
27,Borussia Dortmund,1. FC Union Berlin,4.0,0.0,2.0,9.0,2023
27,Bayer Leverkusen,Eintracht Frankfurt,34.0,13.0,27.0,27.0,2023
27,SC Freiburg,FC Bayern München,4.0,9.0,31.0,-63.0,2023
27,1. FSV Mainz 05,Werder Bremen,10.0,6.0,14.0,-7.0,2023
27,TSG 1899 Hoffenheim,FC Schalke 04,10.0,7.0,9.0,-6.0,2023
27,Borussia Mönchengladbach,VfL Wolfsburg,13.0,9.0,22.0,-15.0,2023
27,VfL Bochum,VfB Stuttgart,15.0,20.0,35.0,-35.0,2023
27,FC Augsburg,1. FC Köln,7.0,7.0,6.0,-4.0,2023
27,Hertha BSC,RB Leipzig,1.0,1.0,10.0,-33.0,2023
28,FC Bayern München,TSG 1899 Hoffenheim,18.0,6.0,4.0,40.0,2023
28,RB Leipzig,FC Augsburg,7.0,4.0,1.0,12.0,2023
28,1. FC Union Berlin,VfL Bochum,12.0,3.0,7.0,7.0,2023
28,1. FC Köln,1. FSV Mainz 05,10.0,9.0,11.0,-7.0,2023
28,Eintracht Frankfurt,Borussia Mönchengladbach,35.0,28.0,33.0,-1.0,2023
28,VfL Wolfsburg,Bayer Leverkusen,20.0,8.0,24.0,-12.0,2023
28,VfB Stuttgart,Borussia Dortmund,40.0,24.0,40.0,-5.0,2023
28,FC Schalke 04,Hertha BSC,38.0,14.0,30.0,22.0,2023
28,Werder Bremen,SC Freiburg,23.0,10.0,9.0,37.0,2023
29,Borussia Dortmund,Eintracht Frankfurt,47.0,20.0,31.0,56.0,2023
29,Bayer Leverkusen,RB Leipzig,2.0,4.0,6.0,-4.0,2023
29,SC Freiburg,FC Schalke 04,20.0,9.0,23.0,-6.0,2023
29,1. FSV Mainz 05,FC Bayern München,6.0,3.0,23.0,-52.0,2023
29,TSG 1899 Hoffenheim,1. FC Köln,12.0,6.0,6.0,24.0,2023
29,Borussia Mönchengladbach,1. FC Union Berlin,1.0,2.0,3.0,-1.0,2023
29,VfL Bochum,VfL Wolfsburg,12.0,4.0,10.0,3.0,2023
29,FC Augsburg,VfB Stuttgart,11.0,1.0,10.0,9.0,2023
29,Hertha BSC,Werder Bremen,20.0,20.0,38.0,-44.0,2023
30,FC Bayern München,Hertha BSC,44.0,20.0,10.0,94.0,2023
30,RB Leipzig,TSG 1899 Hoffenheim,6.0,3.0,3.0,1.0,2023
30,1. FC Union Berlin,Bayer Leverkusen,1.0,3.0,2.0,-2.0,2023
30,1. FC Köln,SC Freiburg,14.0,7.0,17.0,-7.0,2023
30,Eintracht Frankfurt,FC Augsburg,6.0,7.0,7.0,4.0,2023
30,VfL Wolfsburg,1. FSV Mainz 05,17.0,15.0,10.0,14.0,2023
30,VfL Bochum,Borussia Dortmund,17.0,21.0,24.0,-14.0,2023
30,VfB Stuttgart,Borussia Mönchengladbach,41.0,30.0,29.0,31.0,2023
30,FC Schalke 04,Werder Bremen,38.0,22.0,46.0,-28.0,2023
31,Borussia Dortmund,VfL Wolfsburg,31.0,12.0,9.0,54.0,2023
31,Bayer Leverkusen,1. FC Köln,26.0,25.0,17.0,18.0,2023
31,SC Freiburg,RB Leipzig,4.0,4.0,6.0,-11.0,2023
31,1. FSV Mainz 05,FC Schalke 04,6.0,9.0,19.0,-26.0,2023
31,TSG 1899 Hoffenheim,Eintracht Frankfurt,9.0,8.0,9.0,-1.0,2023
31,Borussia Mönchengladbach,VfL Bochum,26.0,22.0,20.0,25.0,2023
31,FC Augsburg,1. FC Union Berlin,4.0,5.0,1.0,4.0,2023
31,Hertha BSC,VfB Stuttgart,27.0,18.0,25.0,-7.0,2023
31,Werder Bremen,FC Bayern München,26.0,26.0,58.0,-96.0,2023
32,FC Bayern München,FC Schalke 04,56.0,28.0,18.0,122.0,2023
32,Borussia Dortmund,Borussia Mönchengladbach,41.0,28.0,31.0,22.0,2023
32,RB Leipzig,Werder Bremen,7.0,1.0,2.0,12.0,2023
32,1. FC Union Berlin,SC Freiburg,4.0,3.0,3.0,-2.0,2023
32,1. FC Köln,Hertha BSC,27.0,13.0,24.0,18.0,2023
32,Eintracht Frankfurt,1. FSV Mainz 05,10.0,16.0,10.0,0.0,2023
32,VfL Wolfsburg,TSG 1899 Hoffenheim,12.0,7.0,9.0,9.0,2023
32,VfL Bochum,FC Augsburg,2.0,0.0,2.0,-2.0,2023
32,VfB Stuttgart,Bayer Leverkusen,23.0,20.0,39.0,-40.0,2023
33,FC Bayern München,RB Leipzig,7.0,4.0,1.0,11.0,2023
33,Bayer Leverkusen,Borussia Mönchengladbach,32.0,26.0,22.0,36.0,2023
33,SC Freiburg,VfL Wolfsburg,14.0,11.0,13.0,-8.0,2023
33,1. FSV Mainz 05,VfB Stuttgart,11.0,7.0,12.0,-3.0,2023
33,TSG 1899 Hoffenheim,1. FC Union Berlin,2.0,2.0,2.0,3.0,2023
33,FC Augsburg,Borussia Dortmund,3.0,6.0,13.0,-26.0,2023
33,Hertha BSC,VfL Bochum,20.0,13.0,19.0,1.0,2023
33,FC Schalke 04,Eintracht Frankfurt,35.0,24.0,35.0,-3.0,2023
33,Werder Bremen,1. FC Köln,35.0,26.0,35.0,-3.0,2023
34,Borussia Dortmund,1. FSV Mainz 05,19.0,8.0,5.0,27.0,2023
34,RB Leipzig,FC Schalke 04,6.0,2.0,2.0,12.0,2023
34,1. FC Union Berlin,Werder Bremen,3.0,0.0,1.0,5.0,2023
34,1. FC Köln,FC Bayern München,23.0,23.0,50.0,-76.0,2023
34,Borussia Mönchengladbach,FC Augsburg,9.0,8.0,7.0,8.0,2023
34,Eintracht Frankfurt,SC Freiburg,17.0,9.0,14.0,10.0,2023
34,VfL Wolfsburg,Hertha BSC,19.0,16.0,21.0,-5.0,2023
34,VfL Bochum,Bayer Leverkusen,16.0,13.0,25.0,-19.0,2023
34,VfB Stuttgart,TSG 1899 Hoffenheim,10.0,7.0,7.0,6.0,2023
1,Borussia Mönchengladbach,FC Bayern München,26.0,29.0,51.0,-72.0,2021
1,Borussia Dortmund,Eintracht Frankfurt,45.0,20.0,31.0,52.0,2021
1,VfL Wolfsburg,VfL Bochum,9.0,4.0,11.0,-3.0,2021
1,1. FC Union Berlin,Bayer Leverkusen,1.0,1.0,2.0,-2.0,2021
1,VfB Stuttgart,SpVgg Greuther Fürth,5.0,1.0,4.0,4.0,2021
1,1. FSV Mainz 05,RB Leipzig,2.0,2.0,6.0,-17.0,2021
1,FC Augsburg,TSG 1899 Hoffenheim,5.0,5.0,12.0,-16.0,2021
1,Arminia Bielefeld,SC Freiburg,7.0,5.0,4.0,4.0,2021
1,1. FC Köln,Hertha BSC,25.0,13.0,24.0,14.0,2021
2,FC Bayern München,1. FC Köln,48.0,23.0,23.0,71.0,2021
2,RB Leipzig,VfB Stuttgart,5.0,1.0,0.0,8.0,2021
2,Eintracht Frankfurt,FC Augsburg,6.0,5.0,7.0,4.0,2021
2,Bayer Leverkusen,Borussia Mönchengladbach,30.0,26.0,22.0,31.0,2021
2,SC Freiburg,Borussia Dortmund,4.0,11.0,27.0,-52.0,2021
2,TSG 1899 Hoffenheim,1. FC Union Berlin,2.0,1.0,1.0,4.0,2021
2,Hertha BSC,VfL Wolfsburg,21.0,15.0,18.0,6.0,2021
2,VfL Bochum,1. FSV Mainz 05,4.0,2.0,8.0,-4.0,2021
2,SpVgg Greuther Fürth,Arminia Bielefeld,7.0,7.0,10.0,-4.0,2021
3,FC Bayern München,Hertha BSC,42.0,20.0,10.0,86.0,2021
3,Borussia Dortmund,TSG 1899 Hoffenheim,9.0,10.0,7.0,-1.0,2021
3,VfL Wolfsburg,RB Leipzig,2.0,5.0,3.0,-4.0,2021
3,1. FC Union Berlin,Borussia Mönchengladbach,1.0,2.0,1.0,-1.0,2021
3,VfB Stuttgart,SC Freiburg,21.0,5.0,12.0,16.0,2021
3,1. FSV Mainz 05,SpVgg Greuther Fürth,6.0,2.0,16.0,-16.0,2021
3,FC Augsburg,Bayer Leverkusen,0.0,7.0,13.0,-26.0,2021
