season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2007,Nürnberg,19,79,1. FC Nürnberg,102,FC Hansa Rostock,1,1,1.0,0.0,0.0,draw
2007,Wolfsburg,19,131,VfL Wolfsburg,107,MSV Duisburg,2,1,0.0,1.0,0.0,win_home
2007,Dortmund,19,7,Borussia Dortmund,9,FC Schalke 04,2,3,0.0,0.0,1.0,win_away
2007,München,19,40,FC Bayern München,134,Werder Bremen,1,1,1.0,0.0,0.0,draw
2007,Gelsenkirchen,20,9,FC Schalke 04,131,VfL Wolfsburg,1,2,0.0,0.0,1.0,win_away
2007,Duisburg,20,107,MSV Duisburg,16,VfB Stuttgart,2,3,0.0,0.0,1.0,win_away
2007,Karlsruhe,20,105,Karlsruher SC,6,Bayer Leverkusen,2,2,1.0,0.0,0.0,draw
2007,Bremen,20,134,Werder Bremen,79,1. FC Nürnberg,2,0,0.0,1.0,0.0,win_home
2007,Cottbus,20,93,FC Energie Cottbus,7,Borussia Dortmund,0,2,0.0,0.0,1.0,win_away
2007,Berlin,20,54,Hertha BSC,83,Arminia Bielefeld,1,0,0.0,1.0,0.0,win_home
2007,Rostock,20,102,FC Hansa Rostock,91,Eintracht Frankfurt,1,0,0.0,1.0,0.0,win_home
2007,Hannover,20,55,Hannover 96,40,FC Bayern München,0,3,0.0,0.0,1.0,win_away
2007,Hamburg,20,100,Hamburger SV,129,VfL Bochum,3,0,0.0,1.0,0.0,win_home
2007,Bochum,21,129,VfL Bochum,55,Hannover 96,2,1,0.0,1.0,0.0,win_home
2007,Leverkusen,21,6,Bayer Leverkusen,9,FC Schalke 04,1,0,0.0,1.0,0.0,win_home
2007,Frankfurt,21,91,Eintracht Frankfurt,134,Werder Bremen,1,0,0.0,1.0,0.0,win_home
2007,Wolfsburg,21,131,VfL Wolfsburg,54,Hertha BSC,0,0,1.0,0.0,0.0,draw
2007,Stuttgart,21,16,VfB Stuttgart,105,Karlsruher SC,3,1,0.0,1.0,0.0,win_home
2007,Dortmund,21,7,Borussia Dortmund,102,FC Hansa Rostock,1,0,0.0,1.0,0.0,win_home
2007,Bielefeld,21,83,Arminia Bielefeld,107,MSV Duisburg,0,2,0.0,0.0,1.0,win_away
2007,München,21,40,FC Bayern München,100,Hamburger SV,1,1,1.0,0.0,0.0,draw
2007,Nürnberg,21,79,1. FC Nürnberg,93,FC Energie Cottbus,1,1,1.0,0.0,0.0,draw
2007,Berlin,22,54,Hertha BSC,107,MSV Duisburg,2,0,0.0,1.0,0.0,win_home
2007,Gelsenkirchen,22,9,FC Schalke 04,40,FC Bayern München,0,1,0.0,0.0,1.0,win_away
