season_x,location,matchday_nr_x,home_team_id,home_team_name_x,away_team_id,away_team_name_x,goals_home,goals_away,outcome,total_goals,identifier,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif
2008,Bielefeld,16,83,Arminia Bielefeld,7,Borussia Dortmund,0,0,draw,0,2008_Arminia Bielefeld_Borussia Dortmund,12.0,11.0,13.0,-22.0
2008,Bielefeld,16,83,Arminia Bielefeld,7,Borussia Dortmund,0,0,draw,0,2008_Arminia Bielefeld_Borussia Dortmund,12.0,10.0,12.0,-17.0
2008,Gladbach,16,87,Borussia Mönchengladbach,6,Bayer Leverkusen,1,3,win_away,4,2008_Borussia Mönchengladbach_Bayer Leverkusen,13.0,21.0,18.0,-17.0
2008,Wolfsburg,16,131,VfL Wolfsburg,55,Hannover 96,2,1,win_home,3,2008_VfL Wolfsburg_Hannover 96,9.0,6.0,9.0,-6.0
2008,Wolfsburg,16,131,VfL Wolfsburg,55,Hannover 96,2,1,win_home,3,2008_VfL Wolfsburg_Hannover 96,8.0,5.0,9.0,-7.0
2008,Köln,16,65,1. FC Köln,100,Hamburger SV,1,2,win_away,3,2008_1. FC Köln_Hamburger SV,26.0,22.0,30.0,4.0
2008,Dortmund,17,7,Borussia Dortmund,87,Borussia Mönchengladbach,2,1,win_home,3,2008_Borussia Dortmund_Borussia Mönchengladbach,22.0,25.0,25.0,-15.0
2008,Bremen,17,134,Werder Bremen,131,VfL Wolfsburg,2,1,win_home,3,2008_Werder Bremen_VfL Wolfsburg,10.0,4.0,8.0,13.0
2008,Bremen,17,134,Werder Bremen,131,VfL Wolfsburg,2,1,win_home,3,2008_Werder Bremen_VfL Wolfsburg,10.0,3.0,7.0,14.0
2008,Hamburg,17,100,Hamburger SV,91,Eintracht Frankfurt,1,0,win_home,1,2008_Hamburger SV_Eintracht Frankfurt,37.0,18.0,25.0,45.0
2008,Hamburg,17,100,Hamburger SV,91,Eintracht Frankfurt,1,0,win_home,1,2008_Hamburger SV_Eintracht Frankfurt,36.0,18.0,24.0,43.0
2008,Stuttgart,17,16,VfB Stuttgart,40,FC Bayern München,2,2,draw,4,2008_VfB Stuttgart_FC Bayern München,16.0,18.0,48.0,-65.0
2008,Leverkusen,17,6,Bayer Leverkusen,93,FC Energie Cottbus,1,1,draw,2,2008_Bayer Leverkusen_FC Energie Cottbus,5.0,2.0,3.0,1.0
2008,Hannover,17,55,Hannover 96,83,Arminia Bielefeld,1,1,draw,2,2008_Hannover 96_Arminia Bielefeld,13.0,6.0,13.0,1.0
2008,Hannover,17,55,Hannover 96,83,Arminia Bielefeld,1,1,draw,2,2008_Hannover 96_Arminia Bielefeld,12.0,5.0,13.0,-1.0
2008,Berlin,17,54,Hertha BSC,105,Karlsruher SC,4,0,win_home,4,2008_Hertha BSC_Karlsruher SC,8.0,6.0,6.0,2.0
2008,Berlin,17,54,Hertha BSC,105,Karlsruher SC,4,0,win_home,4,2008_Hertha BSC_Karlsruher SC,7.0,6.0,5.0,1.0
2008,Bochum,17,129,VfL Bochum,65,1. FC Köln,1,2,win_away,3,2008_VfL Bochum_1. FC Köln,11.0,13.0,32.0,-40.0
2008,Dortmund,18,7,Borussia Dortmund,6,Bayer Leverkusen,1,1,draw,2,2008_Borussia Dortmund_Bayer Leverkusen,20.0,15.0,23.0,-3.0
2008,Berlin,18,54,Hertha BSC,91,Eintracht Frankfurt,2,1,win_home,3,2008_Hertha BSC_Eintracht Frankfurt,22.0,11.0,13.0,16.0
2008,Leverkusen,19,6,Bayer Leverkusen,16,VfB Stuttgart,2,4,win_away,6,2008_Bayer Leverkusen_VfB Stuttgart,21.0,16.0,19.0,8.0
2008,Wolfsburg,19,131,VfL Wolfsburg,129,VfL Bochum,2,0,win_home,2,2008_VfL Wolfsburg_VfL Bochum,7.0,2.0,9.0,-5.0
2008,München,19,40,FC Bayern München,7,Borussia Dortmund,3,1,win_home,4,2008_FC Bayern München_Borussia Dortmund,34.0,24.0,18.0,46.0
2008,Bochum,20,129,VfL Bochum,9,FC Schalke 04,2,1,win_home,3,2008_VfL Bochum_FC Schalke 04,14.0,10.0,28.0,-13.0
2008,Frankfurt,20,91,Eintracht Frankfurt,131,VfL Wolfsburg,0,2,win_away,2,2008_Eintracht Frankfurt_VfL Wolfsburg,2.0,4.0,8.0,-8.0
2008,Hannover,20,55,Hannover 96,16,VfB Stuttgart,3,3,draw,6,2008_Hannover 96_VfB Stuttgart,13.0,5.0,18.0,-10.0
2008,Hamburg,20,100,Hamburger SV,83,Arminia Bielefeld,2,0,win_home,2,2008_Hamburger SV_Arminia Bielefeld,17.0,8.0,5.0,24.0
2008,Karlsruhe,21,105,Karlsruher SC,91,Eintracht Frankfurt,0,1,win_away,1,2008_Karlsruher SC_Eintracht Frankfurt,13.0,11.0,22.0,-11.0
2008,Wolfsburg,21,131,VfL Wolfsburg,54,Hertha BSC,2,1,win_home,3,2008_VfL Wolfsburg_Hertha BSC,9.0,7.0,14.0,-12.0
