matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season,home_team_id,away_team_id
5,Borussia Mönchengladbach,RB Leipzig,3,3,8,-8.0,2023,87.0,1635.0
5,Borussia Dortmund,VfL Wolfsburg,32,12,10,58.0,2023,7.0,131.0
5,Eintracht Frankfurt,SC Freiburg,18,10,14,11.0,2023,91.0,112.0
5,1. FC Union Berlin,TSG 1899 Hoffenheim,3,2,3,-3.0,2023,80.0,175.0
5,FC Augsburg,1. FSV Mainz 05,13,6,13,-5.0,2023,95.0,81.0
6,1. FC Köln,VfB Stuttgart,36,26,32,-7.0,2023,65.0,16.0
6,VfL Bochum,Borussia Mönchengladbach,21,22,27,-26.0,2023,129.0,87.0
6,SC Freiburg,FC Augsburg,19,10,5,27.0,2023,112.0,95.0
6,VfL Wolfsburg,Eintracht Frankfurt,22,14,8,18.0,2023,131.0,91.0
6,1. FSV Mainz 05,Bayer Leverkusen,12,5,17,-10.0,2023,81.0,6.0
6,SV Darmstadt 98,Werder Bremen,3,4,3,1.0,2023,118.0,134.0
